Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36048101,The Heart's Invisible Furies,John Boyne,"Boyne, John",Stephen Hogan,0525494952,9.78053E+12,5,4.5,Random House Audio,Audiobook,,2017,2017,7/24/18,1/3/18,"audible, british-isles","audible (#67), british-isles (#19)",read,,,,1,1
25177085,And Then There Were None,Agatha Christie,"Christie, Agatha",Dan Stevens,,,5,4.28,HarperAudio,Audible Audio,,2013,1939,3/26/18,3/22/18,"audible, british-isles","audible (#32), british-isles (#21)",read,,,,1,1
23164983,"Hollow City (Miss Peregrine's Peculiar Children, #2)",Ransom Riggs,"Riggs, Ransom",,1594747350,9.78159E+12,4,4.06,Quirk Books,Paperback,412,2015,2014,,10/25/17,british-isles,british-isles (#15),read,,,,1,1
28439664,"Library of Souls (Miss Peregrine’s Peculiar Children, #3)",Ransom Riggs,"Riggs, Ransom",,1594749310,9.78159E+12,5,4.14,Quirk Books,Paperback,464,2017,2015,,10/25/17,british-isles,british-isles (#16),read,,,,1,1
35356382,The Chalk Man,C.J. Tudor,"Tudor, C.J.",,1524760986,9.78152E+12,4,3.71,Crown,Hardcover,280,2018,2017,8/27/18,12/4/17,"botm, british-isles","botm (#1), british-isles (#17)",read,,,,1,1
17162156,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,1594746036,9.78159E+12,5,3.92,Quirk Books,Paperback,369,2013,2011,,10/25/17,british-isles,british-isles (#14),read,,,,1,1
30350069,The Girl You Left Behind,Jojo Moyes,"Moyes, Jojo",,,,4,4.02,Penguin Audio,Audible Audio,,2013,2012,,10/25/17,"audible, female-pov, british-isles","audible (#40), female-pov (#38), british-isles (#13)",read,,,,1,1
35202618,Victoria,Daisy Goodwin,"Goodwin, Daisy",Anna Wilson-Jones,,,3,3.93,Headline Review,Audible Audio,12,2016,2016,1/18/18,10/8/17,"audible, female-pov, british-isles","audible (#16), female-pov (#29), british-isles (#12)",read,,,,1,1
33398807,Into the Water,Paula Hawkins,"Hawkins, Paula","Imogen Church, Sophie Aldred, Daniel Weyman, Rachel Bavidge, Laura Aikman",,,5,3.59,Random House Audiobooks,Audible Audio,12,2017,2017,,8/19/17,"audible, female-pov, british-isles","audible (#35), female-pov (#25), british-isles (#9)",read,,,,1,1
23955143,"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,"Wein, Elizabeth","Morven Christie, Lucy Gaskell",,,5,4.01,Bolinda Publishing Pty Ltd,Audible Audio,,2012,2012,7/14/18,8/19/17,"audible, wwii, female-pov, british-isles","audible (#60), wwii (#5), female-pov (#23), british-isles (#8)",read,,,,1,1
29433742,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",Dan Stevens,,,4,4.2,HarperAudio,Audible Audio,7,2013,1934,,9/17/17,"audible, female-pov, british-isles","audible (#46), female-pov (#26), british-isles (#10)",read,,,,1,1
13626172,I've Got Your Number,Sophie Kinsella,"Kinsella, Sophie",Jayne Entwistle,,,5,3.94,Random House Audio,Audiobook,13,2012,2011,8/22/18,8/19/17,"audible, female-pov, british-isles","audible (#72), female-pov (#20), british-isles (#7)",read,,,,1,1
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Tormod Haugen, Per Svein Paulsen",,,5,4.23,HarperCollins Publishers,Paperback,206,2005,1950,,8/19/17,british-isles,british-isles (#5),read,,,,1,0
24298721,The Girl on the Train,Paula Hawkins,"Hawkins, Paula","Clare Corbett, Louise Brealey, India Fisher",,,4,3.96,Penguin Audio,Audible Audio,11,2015,2015,,8/19/17,"audible, female-pov, british-isles","audible (#34), female-pov (#10), british-isles (#3)",read,,,,1,1
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,,,5,4.47,Scholastic Inc,Hardcover,309,2003,1997,,8/19/17,british-isles,british-isles (#4),read,,,,1,1
30253546,"Me Before You (Me Before You, #1)",Jojo Moyes,"Moyes, Jojo",,,,5,4.26,Penguin Audio,Audible Audio,,2012,2012,,8/19/17,"audible, female-pov, british-isles","audible (#1), female-pov (#19), british-isles (#6)",read,,,,1,1
28510840,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert",Robert Glenister,,,5,3.88,Hachette Audio,Audible Audio,16,2013,2013,1/1/12,8/19/17,"audible, mixed-pov, british-isles","audible (#3), mixed-pov (#1), british-isles (#2)",read,,,,1,1
28095737,Pride and Prejudice,Jane Austen,"Austen, Jane",Rosamund Pike,,,5,4.28,Audible Studios,Audible Audio,12,2015,1813,,8/19/17,"audible, female-pov, british-isles","audible (#4), female-pov (#6), british-isles (#1)",read,,,,1,1
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,,,4,4.39,Alfred A. Knopf,Hardcover,592,2006,2005,1/1/15,8/19/17,"female-pov, wwii","female-pov (#16), wwii (#12)",read,,,,1,0
36358268,The Mermaid,Christina Henry,"Henry, Christina",,0399584048,9.7804E+12,3,3.65,Berkley,Paperback,325,2018,2018,8/5/18,6/19/18,mixed-pov,mixed-pov (#14),read,,,,1,0
33503607,Meet Cute: Some People Are Destined to Meet,Jennifer L. Armentrout,"Armentrout, Jennifer L.","Dhonielle Clayton, Katie Cotugno, Jocelyn Davies, Nina LaCour, Emery Lord, Katharine McGee, Kass Morgan, Meredith Russo, Sara Shepard, Nicola Yoon, Ibi Zoboi, Julie   Murphy",1328759873,9.78133E+12,4,3.58,HMH Books for Young Readers,Hardcover,314,2018,2018,5/13/18,4/24/18,mixed-pov,mixed-pov (#13),read,"This is my first experience reading a collection of short stories, and it was a great introduction! I loved some of them more than others, but they all made me think. I bought it to read around Valentine's Day, but it was a good story to read in the spring too.",,,1,1
18333278,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow","Rebecca Lowman, Sunil Malhotra",,,5,3.95,Listening Library,Audible Audio,9,2013,2012,,4/24/18,"audible, mixed-pov","audible (#22), mixed-pov (#12)",read,,,,1,1
30267929,We Were the Lucky Ones,Georgia Hunter,"Hunter, Georgia",,0399563083,9.7804E+12,4,4.41,Viking,Hardcover,403,2017,2017,5/22/18,1/11/18,"wwii, mixed-pov","wwii (#9), mixed-pov (#10)",read,,,,1,1
6989438,Let the Great World Spin,Colum McCann,"McCann, Colum",,0812973992,9.78081E+12,4,3.95,Random House Publishing Group,Paperback,375,2009,2009,10/14/17,9/30/17,mixed-pov,mixed-pov (#7),read,,,,1,1
39735758,"Only Human (Themis Files, #3)",Sylvain Neuvel,"Neuvel, Sylvain",,,,4,3.64,Random House Audio,Audible Audio,9,2018,2018,8/28/18,10/25/17,"audible, mixed-pov","audible (#43), mixed-pov (#8)",read,,,,1,1
26026087,Behold the Dreamers,Imbolo Mbue,"Mbue, Imbolo",Prentice Onayemi,0147523109,9.78015E+12,4,3.95,Random House Audio,Audiobook,12,2016,2016,10/19/17,9/19/17,"audible, mixed-pov","audible (#59), mixed-pov (#6)",read,,,,1,1
29966530,The Wanderers,Meg Howrey,"Howrey, Meg",,0399574638,9.7804E+12,4,3.54,G.P. Putnam's Sons,Hardcover,370,2017,2017,,10/25/17,"women-in-science, mixed-pov","women-in-science (#7), mixed-pov (#9)",read,,,,1,2
29958309,"Sleeping Giants (Themis Files, #1)",Sylvain Neuvel,"Neuvel, Sylvain","Andy Secombe, Eric Meyers, Laurel Lefkow, Charlie Anson, Liza Ross, William Hope, Christoper Ragland, Katharine Mangold, Adna Sablyich",,,5,3.83,Random House Audio,Audible Audio,,2016,2016,9/17/17,8/19/17,"audible, mixed-pov","audible (#41), mixed-pov (#3)",read,,,,1,1
36257093,The Salt Line,Holly Goddard Jones,"Jones, Holly Goddard",Hillary Huber,,,3,3.59,Penguin Audio,Audiobook,16,2017,2017,5/12/18,9/17/17,"audible, mixed-pov","audible (#6), mixed-pov (#5)",read,,,,1,1
