Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55240343,"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457254""","=""9781952457258""",0,4.16,Blue Box Press,Paperback,645,2021,2021,,2021/12/06,to-read,to-read (#55),to-read,,,,0,0
18584855,Heartless,Marissa Meyer,"Meyer, Marissa",,"=""1250044650""","=""9781250044655""",0,4.09,Feiwel & Friends,Hardcover,453,2016,2016,,2021/11/21,to-read,to-read (#54),to-read,,,,0,0
43558747,"Girls of Storm and Shadow (Girls of Paper and Fire, #2)",Natasha Ngan,"Ngan, Natasha",,"=""0316528676""","=""9780316528672""",0,3.77,Jimmy Patterson Books,Hardcover,403,2019,2019,,2021/11/21,to-read,to-read (#53),to-read,,,,0,0
34433755,"Girls of Paper and Fire (Girls of Paper and Fire, #1)",Natasha Ngan,"Ngan, Natasha",James  Patterson,"=""0316561363""","=""9780316561365""",0,3.81,Jimmy Patterson Books,Hardcover,385,2018,2018,,2021/11/21,to-read,to-read (#52),to-read,,,,0,0
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"Riordan, Rick",,"=""142311339X""","=""9781423113393""",0,4.30,Disney-Hyperion Books,Hardcover,576,2010,2010,2021/11/21,2020/11/11,,,read,,,,1,0
3412,The Thorn Birds,Colleen McCullough,"McCullough, Colleen",,"=""""","=""""",0,4.25,Avon Books,Mass Market Paperback,692,1977,1977,,2020/11/13,to-read,to-read (#51),to-read,,,,0,0
50215350,We Ride Upon Sticks,Quan Barry,"Barry, Quan",,"=""1524748099""","=""9781524748098""",0,3.78,Pantheon Books,Hardcover,367,2020,2020,,2021/11/02,to-read,to-read (#50),to-read,,,,0,0
33296298,"Age of Assassins (The Wounded Kingdom, #1)",R.J.  Barker,"Barker, R.J.",,"=""0316466492""","=""9780316466493""",0,3.95,Orbit,Paperback,408,2017,2017,,2021/11/02,to-read,to-read (#49),to-read,,,,0,0
23766634,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1408857901""","=""9781408857908""",0,4.47,Bloomsbury Publishing,Paperback,705,2017,2017,2021/11/02,2021/05/24,,,read,,,,1,0
17927395,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",0,4.65,Bloomsbury USA Childrens,Kindle Edition,626,2016,2016,2021/10/21,2021/04/28,,,read,,,,1,0
